tool,description,href,toolbox,toolset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Ready To Use toolbox,Elevation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Ready To Use toolbox,Hydrology
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Ready To Use toolbox,Hydrology
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Ready To Use toolbox,Hydrology
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Ready To Use toolbox,Hydrology
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Ready To Use toolbox,Hydrology
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Ready To Use toolbox,Hydrology
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Ready To Use toolbox,Network Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Ready To Use toolbox,Network Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Ready To Use toolbox,Network Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Ready To Use toolbox,Network Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Ready To Use toolbox,Network Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Ready To Use toolbox,Network Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Server toolbox,Caching
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Server toolbox,Caching
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Server toolbox,Caching
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Server toolbox,Caching
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Server toolbox,Caching
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Server toolbox,Caching
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Server toolbox,Data Extraction
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Server toolbox,Data Extraction
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Server toolbox,Data Extraction
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Server toolbox,Data Extraction
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Server toolbox,Data Extraction
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Server toolbox,Data Extraction
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Server toolbox,Printing
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Server toolbox,Printing
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Server toolbox,Printing
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Server toolbox,Printing
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Server toolbox,Printing
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Server toolbox,Printing
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Server toolbox,Publishing
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Server toolbox,Publishing
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Server toolbox,Publishing
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Server toolbox,Publishing
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Server toolbox,Publishing
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Server toolbox,Publishing
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Space Time Pattern Mining toolbox,Emerging Hot Spot Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Space Time Pattern Mining toolbox,Local Outlier Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Conditional
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Conditional
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Conditional
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Conditional
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Conditional
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Conditional
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Density
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Density
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Density
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Density
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Density
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Density
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Distance
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Distance
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Distance
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Distance
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Distance
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Distance
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Extraction
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Extraction
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Extraction
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Extraction
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Extraction
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Extraction
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Generalization
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Generalization
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Generalization
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Generalization
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Generalization
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Generalization
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Groundwater
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Groundwater
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Groundwater
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Groundwater
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Groundwater
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Groundwater
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Hydrology
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Hydrology
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Hydrology
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Hydrology
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Hydrology
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Hydrology
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Interpolation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Interpolation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Interpolation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Interpolation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Interpolation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Interpolation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Local
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Local
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Local
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Local
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Local
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Local
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Map Algebra
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Map Algebra
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Map Algebra
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Map Algebra
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Map Algebra
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Map Algebra
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math (general)
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math (general)
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math (general)
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math (general)
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math (general)
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math (general)
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math (general)
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math (general)
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math (general)
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math (general)
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math (general)
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math (general)
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Bitwise
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Bitwise
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Bitwise
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Bitwise
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Bitwise
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Bitwise
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Logical
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Logical
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Logical
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Logical
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Logical
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Logical
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Logical
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Logical
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Logical
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Logical
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Logical
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Logical
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Logical
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Logical
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Logical
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Logical
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Logical
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Logical
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Logical
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Logical
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Logical
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Logical
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Logical
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Logical
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Math Trigonometric
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Math Trigonometric
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Math Trigonometric
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Math Trigonometric
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Math Trigonometric
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Math Trigonometric
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Multidimensional Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Multidimensional Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Multidimensional Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Multidimensional Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Multidimensional Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Multidimensional Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Multivariate
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Multivariate
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Multivariate
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Multivariate
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Multivariate
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Multivariate
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Neighborhood
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Neighborhood
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Neighborhood
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Neighborhood
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Neighborhood
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Neighborhood
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Overlay
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Overlay
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Overlay
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Overlay
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Overlay
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Overlay
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Raster Creation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Raster Creation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Raster Creation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Raster Creation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Raster Creation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Raster Creation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Reclass
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Reclass
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Reclass
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Reclass
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Reclass
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Reclass
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Segmentation and Classification
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Segmentation and Classification
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Segmentation and Classification
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Segmentation and Classification
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Segmentation and Classification
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Segmentation and Classification
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Solar Radiation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Solar Radiation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Solar Radiation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Solar Radiation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Solar Radiation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Solar Radiation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Spatial Analyst toolbox,Surface
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Spatial Analyst toolbox,Surface
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Spatial Analyst toolbox,Surface
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Spatial Analyst toolbox,Surface
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Spatial Analyst toolbox,Surface
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Spatial Analyst toolbox,Surface
